X,Y,Z,tempo
692672.4561,9272299.68,-3.1,12:04:44
692664.0169,9272299.34,-3,12:04:45
692661.0642,9272299.509,-3,12:04:46
692658.9542,9272299.358,-3,12:04:47
692656.4223,9272299.209,-2.9,12:04:48
692654.3121,9272299.005,-2.9,12:04:49
692652.202,9272298.854,-3,12:04:50
692650.5132,9272298.491,-3,12:04:51
692647.9811,9272298.289,-3,12:04:52
692643.339,9272297.936,-3,12:04:53
692641.2289,9272297.785,-2.8,12:04:54
692639.1195,9272297.792,-2.8,12:04:55
692636.1655,9272297.592,-2.8,12:04:56
692633.2122,9272297.602,-2.8,12:04:57
692630.2597,9272297.823,-2.9,12:04:58
692628.1482,9272297.25,-2.9,12:04:59
692625.6169,9272297.259,-2.9,12:05:00
692625.6169,9272297.259,-2.9,12:05:01
692618.4416,9272296.388,-2.8,12:05:02
692615.9089,9272296.027,-2.8,12:05:03
692613.7982,9272295.666,-2.8,12:05:04
692611.6874,9272295.304,-2.6,12:05:05
692609.5766,9272294.942,-2.6,12:05:06
692607.4646,9272294.211,-2.5,12:05:07
692604.9312,9272293.64,-2.5,12:05:08
692602.3993,9272293.49,-2.3,12:05:09
692596.9114,9272292.56,-2.3,12:05:10
692594.8001,9272292.04,-2.2,12:05:11
692592.6893,9272291.679,-2.2,12:05:12
692590.1572,9272291.476,-2.3,12:05:13
692588.0465,9272291.115,-2.3,12:05:14
692586.3571,9272290.593,-2.2,12:05:15
692583.825,9272290.391,-2.2,12:05:16
692580.8712,9272290.243,-2.2,12:05:17
692580.8712,9272290.243,-2.2,12:05:18
692574.5402,9272289.527,-2.2,12:05:19
692572.0081,9272289.325,-2.2,12:05:20
692569.8961,9272288.594,-2.2,12:05:21
692568.2079,9272288.442,-2.1,12:05:22
692565.2547,9272288.452,-2.1,12:05:23
692563.1426,9272287.721,-2.2,12:05:24
692560.6093,9272287.15,-2.2,12:05:25
692558.4985,9272286.788,-2,12:05:26
692554.2777,9272286.275,-2,12:05:27
692551.7431,9272285.335,-2,12:05:28
692549.2099,9272284.816,-2,12:05:29
692547.0984,9272284.243,-1.9,12:05:30
692545.4064,9272282.984,-1.9,12:05:31
692543.7155,9272282.04,-1.9,12:05:32
692541.6029,9272281.151,-1.9,12:05:33
692539.4904,9272280.262,-1.8,12:05:34
692539.4904,9272280.262,-1.8,12:05:35
692532.7355,9272278.967,-1.8,12:05:36
692530.6247,9272278.605,-1.6,12:05:37
692528.0908,9272277.876,-1.6,12:05:38
692525.9795,9272277.356,-1.6,12:05:39
692524.2893,9272276.623,-1.6,12:05:40
692521.7554,9272275.894,-1.4,12:05:41
692519.2233,9272275.692,-1.4,12:05:42
692516.6914,9272275.542,-1.4,12:05:43
692516.6914,9272275.542,-1.4,12:05:44
692509.5166,9272274.829,-1.3,12:05:45
692507.4046,9272274.098,-1.3,12:05:46
692505.2939,9272273.736,-1.3,12:05:47
692503.1837,9272273.533,-1.3,12:05:48
692501.0724,9272273.013,-1.2,12:05:49
692498.539,9272272.442,-1.2,12:05:50
692496.0063,9272272.081,-1.2,12:05:51
692496.0063,9272272.081,-1.1,12:05:52
692489.2535,9272271.366,-1.1,12:05:53
692487.1435,9272271.216,-1.1,12:05:54
692485.034,9272271.223,-1.1,12:05:55
692484.1902,9272271.226,-1,12:05:56
692482.9251,9272271.389,-1,12:05:57
692481.6588,9272271.235,-1,12:05:58
692479.9713,9272271.241,-1,12:05:59
692478.2837,9272271.246,-1,12:06:00
692478.2837,9272271.246,-1,12:06:01
692472.3778,9272271.425,-0.9,12:06:02
692470.6896,9272271.273,-0.9,12:06:03
692469.4232,9272271.066,-0.8,12:06:04
692468.1557,9272270.543,-0.8,12:06:05
692466.4674,9272270.338,-0.8,12:06:06
692465.6231,9272270.183,-0.9,12:06:07
692464.3561,9272269.818,-0.9,12:06:08
692462.2453,9272269.457,-1,12:06:09
